feature,importance
pae_min,0.06672019280315368
contact_score_max,0.05789560753465047
ipsae_d0res_max,0.04464707537814589
ipsae_d0dom_max,0.043067918894517804
contact_score_avg,0.03416020267361224
ipsae_d0dom_asym,0.032080821492969785
ipsae_d0chn_max,0.0297448066245298
other_contact_percent,0.026654884041380236
lis,0.024781417153823117
ipsae_d0res_asym,0.02444466452802072
ipsae_d0chn_asym,0.023675292352765383
salt_bridge_percent,0.021398756059044326
pdockq_e,0.021356489690505718
if_plddt_max,0.020056240218993947
plddt_A,0.01923132741132138
repulsive_contact_percent,0.018429312964777428
all_disorder_percent,0.01835937653531652
iptm_d0chn_max,0.018325643791025414
contact_score_median,0.017830256679463103
all_plddt_max,0.017732829431559377
pdockq_e_v2,0.01757596650744766
if_plddt_diff_mean,0.017009924431628715
pae_diff_mean,0.016731502499791384
all_plddt_min,0.01671339997649753
iface_residues_b,0.015987553938193663
all_plddt_mean,0.015969019207061383
pae_max,0.01581476657401293
if_plddt_min,0.015716447452045507
iptm_d0chn_asym,0.015715322743162542
backbone_percent,0.015151752584126123
d0chn,0.015087256094512192
domain_coverage,0.015045836213958679
if_plddt_avg,0.015000939588932864
h_bond_percent,0.014878105166733642
ptm,0.014739036390912176
n0chn,0.01473726203066384
atom_contacts_per_residue_avg,0.014357894254408058
iptm,0.014146582852865039
if_residues_percent,0.013819065464450109
all_pae_mean,0.013649467013987044
pae_avg,0.013553741594583014
n0res_max,0.013342128008494143
unfiltered_if_pae_mean,0.013310148328233868
plddt_B,0.013002786773759652
n_positive_contacts,0.012696402391936899
iface_residues_a,0.011690012458451261
n0dom,0.011494436990297863
if_residues_num,0.01149297087746729
num_residue_contacts,0.01097715533180856
