n_estimators,max_depth,min_samples_split,aupr_0,aupr_1,aupr_2,mean,std
200,8,2,0.40071052636381843,0.4011202927907524,0.370726115283952,0.39085231147950766,0.014232352982030261
200,8,5,0.3979269041250359,0.3996595481864601,0.3751330185109904,0.39090649027416213,0.01117593612659447
200,8,10,0.40720955259607433,0.4005877273868596,0.3680968860644571,0.39196472201579696,0.01709224652730789
200,8,20,0.4064581089725211,0.40023478299824633,0.37129039718464363,0.39266109638513697,0.015323457720849592
200,12,2,0.4185438607914594,0.40554241542833885,0.38489948897473775,0.4029952550648453,0.013852844669921715
200,12,5,0.4053013993303435,0.40277703339399074,0.38118162086319396,0.3964200178625094,0.010824344881691877
200,12,10,0.4046982649716716,0.4114577558435094,0.3830247008567753,0.39972690722398546,0.012128353896586588
200,12,20,0.40846446099670347,0.40130871806298873,0.3833473659628496,0.39770684834084724,0.01056557980287473
200,16,2,0.40649440040915785,0.41242564586106967,0.3866763162906699,0.4018654541869658,0.011009915248757232
200,16,5,0.4116308911388664,0.40115822620792346,0.37872084408745393,0.3971699871447479,0.013728251584483856
200,16,10,0.4078282959431241,0.40331422629089014,0.3827978510829631,0.39798012443899244,0.010892513465654707
200,16,20,0.4070825984639964,0.4016871641010459,0.38588431905074405,0.39821802720526217,0.008995107767442103
200,20,2,0.40463612576312014,0.4086647718622935,0.3781515216159364,0.39715080641378336,0.013534822113604341
200,20,5,0.408628402679872,0.3931296476103769,0.37495171772536406,0.3922365893385376,0.013762944021029089
200,20,10,0.40923183849289757,0.39733412347561126,0.39087325833771613,0.39914640676874164,0.007603623889500545
200,20,20,0.404330847170651,0.3951735073839002,0.38747560766756145,0.3956599874073709,0.006889715610316317
200,24,2,0.40419773943519643,0.4080257194547561,0.37534123669326924,0.3958548985277406,0.014589290573381137
200,24,5,0.4062963578560108,0.3995095929491919,0.3841107555085716,0.39663890210459146,0.009281913858812734
200,24,10,0.41899315361154,0.39887803531902655,0.3950674613089114,0.4043128834131593,0.010496439662880589
200,24,20,0.40751619690702257,0.39391891584673505,0.38706348275916297,0.39616619850430684,0.008499650522650183
400,8,2,0.39931076081393607,0.39963087901113736,0.3729656589148479,0.3906357662466404,0.012495336163354347
400,8,5,0.39807713022072905,0.40081311292369254,0.37477478333175557,0.39122167549205905,0.011683224344823592
400,8,10,0.40528515272054016,0.4035320082485695,0.37101796903348794,0.39327837666753257,0.015756748605180226
400,8,20,0.40461659942249123,0.3993368668876522,0.37769435363241977,0.393882606647521,0.01164799111923201
400,12,2,0.4147606985161727,0.40251197870088934,0.3827917922256439,0.4000214898142353,0.013169526529683673
400,12,5,0.40817168970366036,0.406550678478924,0.3850598380638918,0.39992740208215877,0.010533763627043245
400,12,10,0.40772056435154425,0.4154970046814941,0.3838484425766049,0.4023553372032144,0.013465935234054828
400,12,20,0.41199935594576576,0.4016302783378958,0.3853723826693805,0.3996673389843473,0.010958673114467079
400,16,2,0.4144123909951366,0.4061370769517988,0.3869308980367689,0.40249345532790143,0.011511301626627718
400,16,5,0.41334556704643227,0.4040138512120154,0.3815664267181351,0.3996419483255276,0.013337005939316884
400,16,10,0.4097583545171978,0.40405643630601845,0.3817371157936482,0.3985173022056215,0.012091566202307395
400,16,20,0.413038380262096,0.40372497720337985,0.3855460070760924,0.4007697881805227,0.01141658158032237
400,20,2,0.40683750324260803,0.4054619466864015,0.38754025981972545,0.399946569916245,0.00879054175873451
400,20,5,0.41299882341881045,0.3979509484160164,0.3803152174645339,0.3970883297664536,0.013356960925413525
400,20,10,0.412399989801695,0.3961580608716846,0.3864161038934435,0.39832471818894105,0.010717940867880471
400,20,20,0.4088635350555888,0.3977557059152909,0.38758342386773886,0.3980675549462062,0.008690367096403398
400,24,2,0.41192966832567657,0.4044130125275331,0.38067939684445673,0.39900735923255554,0.013318175114522069
400,24,5,0.41174912125703017,0.40114481510224015,0.388855505467677,0.40058314727564914,0.0093547141070942
400,24,10,0.4167858689946067,0.39959218672809843,0.38671511794255625,0.4010310578884205,0.012318421973359054
400,24,20,0.41102760992170606,0.39828575098147734,0.3846997161650955,0.3980043590227596,0.01075015917682668
600,8,2,0.4016324851638734,0.40047145262345807,0.3747978245305313,0.3923005874392876,0.012385395464553596
600,8,5,0.39931009985733684,0.4016141909181249,0.3756823099338157,0.3922022002364258,0.011719137926537225
600,8,10,0.4037584200121745,0.39895451048947983,0.3748201075472246,0.3925110126829596,0.012662160954769693
600,8,20,0.407250828801935,0.4002019064709426,0.3782642384924318,0.39523899125510314,0.012343108739223813
600,12,2,0.41488951725408324,0.4004096024334143,0.3810196637616291,0.3987729278163756,0.013875656663178651
600,12,5,0.40975679957416405,0.4061480238100788,0.3848806178106002,0.40026181373161435,0.010975478929545
600,12,10,0.40925077907633506,0.4129618547674643,0.38669466593593654,0.40296909992657864,0.011607064572438843
600,12,20,0.4118711688404366,0.40131750360522156,0.38347966808719874,0.3988894468442856,0.011717250060801288
600,16,2,0.41729777579524163,0.4035909931944264,0.3859057181686233,0.4022648290527638,0.012850015668115104
600,16,5,0.41145594546461495,0.4046935109464125,0.3832560705572113,0.39980184232274624,0.01202094152277944
600,16,10,0.41361769540545795,0.4021091564517133,0.3823950848034417,0.39937397888687093,0.012892471974882524
600,16,20,0.411836288737144,0.40344192263143314,0.3836237991742088,0.399634003514262,0.011828252275431344
600,20,2,0.4096672077701012,0.39986278471340814,0.3874690230252369,0.39899967183624874,0.00908289874327281
600,20,5,0.4116886379903078,0.3986122143770239,0.38508491687911556,0.39846192308214906,0.01086144357641624
600,20,10,0.41336916840606885,0.398282236697169,0.38577405618112537,0.399141820428121,0.011282042303876678
600,20,20,0.41172288767561305,0.3973881308588144,0.3854934968327154,0.3982015051223809,0.010723538572282478
600,24,2,0.4164214776901121,0.4042030837095713,0.3805387277256755,0.4003877630417863,0.014895423012927827
600,24,5,0.41196160887673644,0.40158196705945,0.39081814297244166,0.4014539063028761,0.008632258772748867
600,24,10,0.4143284005572029,0.3992075502600444,0.38445498770548764,0.39933031284091164,0.012196078655062378
600,24,20,0.4128886030312347,0.39731555962052567,0.38539925972103234,0.39853447412426424,0.011255526445028682
1000,8,2,0.40197841760707387,0.40072635800130113,0.37472200411453216,0.3924755932409691,0.012564085282180466
1000,8,5,0.3998726560892085,0.4022087527735014,0.3744476627251338,0.39217635719594796,0.012572305348375766
1000,8,10,0.40429917284425665,0.39948928613027573,0.37363837477369133,0.3924756112494079,0.013463898917274616
1000,8,20,0.40498962280002104,0.39893045485250556,0.3741182501111867,0.3926794425879045,0.01335581717635607
1000,12,2,0.4141156715375585,0.40215079010523014,0.3791980655084961,0.3984881757170949,0.014488405958267348
1000,12,5,0.4093719472168675,0.40538251354527843,0.38636823429457223,0.40037423168557273,0.01003676134492717
1000,12,10,0.41030107154443574,0.408888656188859,0.38581132962430126,0.40166701911919866,0.011226483459603226
1000,12,20,0.4097258845897351,0.40062894544487165,0.38244635324015225,0.3976003944249196,0.011340849428020734
1000,16,2,0.41356641579775816,0.40471986565254175,0.38127834158093127,0.3998548743437437,0.013623045168239504
1000,16,5,0.41345539117694724,0.4047085181869028,0.3823631501338407,0.40017568649923024,0.013091773131811594
1000,16,10,0.4136693259572295,0.402243435495568,0.38047992551699517,0.3987975623232642,0.013766858921222345
