feature,importance
biogrid_detect_count,0.2182723337967575
pae_min,0.04541004620804328
contact_score_max,0.04062449155112928
t5_domain_embedding_cosine_dist,0.034592050819897385
ipsae_d0dom_asym,0.03257993244743844
ipsae_d0dom_max,0.03082155499141806
contact_score_avg,0.030710554941308362
ipsae_d0res_max,0.03016785573859977
colocalization_match_score,0.02891647114614802
af_missense_score_mean,0.02521267947296697
num_significant_afm_scores,0.02250107439368315
depmap_cosine_dist,0.022140383001575212
ipsae_d0chn_max,0.02054791124240502
crispr_shared_hit_count,0.020205041409512212
t5_domain_embedding_euclidian_dist,0.019986494397045314
ipsae_d0chn_asym,0.019907756868010704
pdockq_e,0.019761695727595896
crispr_jaccard,0.01764282736204095
ipsae_d0res_asym,0.017427678514568445
avg_af_missense_score_diff,0.017406282946002084
lis,0.017358232115303445
other_contact_percent,0.017159264245556055
if_plddt_diff_mean,0.01707722559547398
depmap_abs_diff,0.016716005519598717
iptm_d0chn_max,0.016281038143018043
depmap_euclidian_dist,0.01619448267764981
all_plddt_max,0.01526347809759781
co_expression_score,0.015245977741052696
salt_bridge_percent,0.01521002176663494
if_residues_percent,0.014583683313950564
pae_diff_mean,0.014532713628528563
contact_score_median,0.014329984935453016
plddt_A,0.01431645521828764
all_plddt_min,0.013864535041802824
repulsive_contact_percent,0.01360650714720086
af_missense_score_mean_diff,0.01343810196251182
iptm_d0chn_asym,0.013378412611054267
pae_max,0.013314324585660207
pdockq_e_v2,0.013294438677518634
