feature,train_auc_drop_mean,train_auc_drop_std,train_aupr_drop_mean,train_aupr_drop_std,test_auc_drop_mean,test_auc_drop_std,test_aupr_drop_mean,test_aupr_drop_std
biogrid_detect_count,0.0545358730908659,0.0013084067259141476,0.3441318586054457,0.007977782841029568,0.13169561355220266,0.004580084201095476,0.20688098500516397,0.006797862663777582
t5_domain_embedding_cosine_dist,0.0009545050983651049,6.195600509297385e-05,0.010252864714338516,0.0005607813394766844,0.011034907688831152,0.0017250512878375518,0.014715662301656152,0.0012945698399265322
colocalization_match_score,0.0007600280923819646,7.397503521867683e-05,0.007908073892190637,0.0006856187341437429,0.006074056113199888,0.0009600446873135875,0.009869217131252356,0.000885632741147788
avg_af_missense_score_diff,0.00012874258832578088,2.2350346244786312e-05,0.0014618018139610333,0.00023073122491182216,0.005991104630936333,0.0008635986675738674,0.007368608430918949,0.0005363247035788865
t5_domain_embedding_euclidian_dist,0.00017020278604030215,1.2122285840572119e-05,0.002008859338494534,0.00013842421329781675,0.004479746729266177,0.0010012234645891973,0.006727667382326124,0.0006216209480467392
pae_min,0.00015592008428281235,1.112220041548816e-05,0.0019539655454072547,0.00014486575194383322,0.002221057736248372,0.0010412282145208405,0.005517956216608955,0.0011206067669969368
ipsae_d0dom_max,0.0001348961172436547,1.0090343857462201e-05,0.0016423999721931926,0.00011769943798290418,0.0033565041341670544,0.0009044090142702802,0.005342355116374642,0.0006598503146307745
depmap_cosine_dist,0.00014316691330351627,1.3682584241537907e-05,0.0016511205821160724,0.00014778166727295503,0.001932062518305616,0.000527557300902107,0.003977206905195746,0.0005373005732275337
ipsae_d0res_asym,9.838565107521124e-05,6.850100102540391e-06,0.0012100739481370692,8.336720351446636e-05,0.00435857958277423,0.0010495475433149215,0.003961771793883395,0.0005563176184237167
contact_score_max,0.00017663248023753743,1.3662244586152007e-05,0.0021647537498530435,0.00016366529373405624,0.0030013104477843943,0.0007766423431098372,0.003866368060666847,0.0006918646567158226
iptm_d0chn_asym,7.577550396978828e-05,4.639857467679492e-06,0.0009360088832017554,5.599273211434119e-05,0.004228336932213722,0.0006958184730446951,0.0037553059329755887,0.000470559259845236
ipsae_d0res_max,0.00011320652106950325,5.8744237947878945e-06,0.001414895800646515,7.064448236728903e-05,0.002922530030522047,0.0011355618483282312,0.0037123124389105864,0.0007136651677093139
