feature,train_auc_drop_mean,train_auc_drop_std,train_aupr_drop_mean,train_aupr_drop_std,test_auc_drop_mean,test_auc_drop_std,test_aupr_drop_mean,test_aupr_drop_std
contact_score_max,0.0014385520215369318,9.412968340090622e-05,0.011804708055468821,0.0006613264127160403,0.01888764800978306,0.002004135818546908,0.02139209519606382,0.0015858450202140026
pae_min,0.0006785734972820645,9.201190316988295e-05,0.005332427178721022,0.001076385249181189,0.006787812423081551,0.0019987737772673006,0.019481093207944344,0.0025906106414960955
pdockq_e,0.002869732554462279,0.00016476923032526648,0.025664812131017116,0.0011941188655172697,0.011958741291755792,0.0017334024597569862,0.0130245355842952,0.0014986341074406247
ipsae_d0res_max,0.0020042588934779835,6.313723703822058e-05,0.019864043078511584,0.00042608434497546505,0.01117552070704581,0.0018943914734236389,0.01050117780529522,0.0014860886059029088
iptm_d0chn_asym,0.001309200453364301,5.768372826203258e-05,0.013638424905515017,0.0004606972823167585,0.01309796914970308,0.001924217620048521,0.009445264910216421,0.0012522734309112018
ipsae_d0dom_max,0.00157265504874744,6.05519431399456e-05,0.015122853355184002,0.0006643300424827728,0.006167733191180885,0.0019344020418020946,0.007917572763587033,0.0016084385618009328
ipsae_d0chn_max,0.0005618547203515179,3.541947967258529e-05,0.0047711207553496615,0.0003631463047607538,0.006299522802662211,0.0015299583941515583,0.007244291686466087,0.0013437047860127994
ipsae_d0chn_asym,0.0010212379597249522,3.4917849721485e-05,0.010201452798560957,0.0002713987214481569,0.009255558860831625,0.0015847470254750633,0.006438051314343202,0.0012122882821164757
ipsae_d0res_asym,0.0017119060800123097,3.2966401931326494e-05,0.018001236660888337,0.00033725601082639314,0.005882359007689736,0.0014776627051727098,0.0050255923174895075,0.0011314627452098966
contact_score_avg,0.0012838428157868564,3.5518177530063845e-05,0.013146124883129957,0.00033185610472052365,0.003984020237457225,0.0014052695627314938,0.0034796983202714793,0.001119718275527781
iface_residues_b,0.0012334461928775297,3.9313577284506705e-05,0.013280623512521095,0.0004004015737242498,0.005143805487196312,0.001102559134096037,0.0031974033286713555,0.0008921503466670362
all_disorder_percent,0.0008170031138697686,4.849383124848335e-05,0.008407470077932366,0.0004971939065688981,0.002489690364885533,0.0006667336061015227,0.002939679324476052,0.0008464293902682963
lis,0.0029835338930566334,3.897472821163232e-05,0.030826125144580635,0.0004072769422968364,0.002189774748739032,0.0010883850104318794,0.0028737291618584847,0.0006286521319862395
ipsae_d0dom_asym,0.0016936508469281076,3.189074663111198e-05,0.016888999929072758,0.00028978250113988446,0.004760812340118603,0.0016601333236983798,0.0026720902917424737,0.001054218519148557
if_plddt_diff_mean,0.0013302669073695038,6.909963672398774e-05,0.013123211906257176,0.0005431736131099774,0.0038048019500415307,0.0009437948668669001,0.0023731679651967487,0.0010500071432844721
iface_residues_a,0.0008236098370922595,3.474989130745837e-05,0.009164557034892528,0.0003846774638853446,0.003985383854861468,0.0007052360504502616,0.0023685959333318352,0.0004904127862768937
