gene	uniprot_A	fname	n_c+	score_all_feat	score_struct_only
A4GALT	Q9NPC4	A4GALT;Q9NPC4;0_ARF6	0	0.0070132024300939	0.0160948044589795
ESYT2	A0FGR8	ESYT2;A0FGR8;1_ARF6	0	0.5146170948267264	0.0286129429446032
IQSEC1	Q6DN90	IQSEC1;Q6DN90;1_ARF6	112	0.5362071760658957	0.5836991117778176
